plot_install_year,target_stand,region_symbol,thinning_intensity,species,marker_label,regional_forest_service,long,lat
2013,cLk,남부01,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부01<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.58364800900006,37.00724696700007
2013,cLk,남부01,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부01<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.5829491080001,37.00703193800007
2013,cLk,남부08,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부08<br/>thinning_intensity: a무간벌<br/>,cSouth,128.58044629300002,36.99430852000006
2013,cLk,남부08,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부08<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.58010900200009,36.993600978000075
2013,cLk,남부08,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부08<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.58027898700004,36.99398595800005
2013,cLk,남부09,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부09<br/>thinning_intensity: a무간벌<br/>,cSouth,128.52369896100004,36.94707202700005
2013,cLk,남부09,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부09<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.52380217100006,36.94674672600007
2013,cLk,남부09,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부09<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.52391136200004,36.946509597000045
2013,cLk,남부10,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부10<br/>thinning_intensity: a무간벌<br/>,cSouth,128.49977774900003,36.923358611000026
2013,cLk,남부10,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부10<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.49947702100008,36.92302099400007
2013,cLk,남부10,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부10<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.50021078800012,36.92312782100004
2013,cLk,남부11,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부11<br/>thinning_intensity: a무간벌<br/>,cSouth,128.4577919730001,36.90378301800007
2013,cLk,남부11,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부11<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.4577010580001,36.90397816800004
2013,cLk,남부11,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부11<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.45807011400007,36.904026129000044
2013,cLk,남부12,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부12<br/>thinning_intensity: a무간벌<br/>,cSouth,129.10763296300001,36.881936006000046
2013,cLk,남부12,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부12<br/>thinning_intensity: c강도간벌<br/>,cSouth,129.1074824740001,36.882149308000066
2013,cLk,남부12,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부12<br/>thinning_intensity: b약도간벌<br/>,cSouth,129.10744908100003,36.88175460400004
2013,cLk,남부13,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부13<br/>thinning_intensity: a무간벌<br/>,cSouth,128.68605801800004,37.03038001400006
2013,cLk,남부13,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부13<br/>thinning_intensity: b약도간벌<br/>,cSouth,128.68716803400002,37.02993501900005
2013,cLk,남부13,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부13<br/>thinning_intensity: c강도간벌<br/>,cSouth,128.68622711700004,37.029846117000034
2013,cLk,남부02,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부02<br/>thinning_intensity: a무간벌<br/>,cSouth,129.2282629660001,36.612505009000074
2013,cLk,남부02,b약도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부02<br/>thinning_intensity: b약도간벌<br/>,cSouth,129.22772702800012,36.61304103200007
2013,cLk,남부02,c강도간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부02<br/>thinning_intensity: c강도간벌<br/>,cSouth,129.22816397600002,36.61288403900005
