experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,geometry,species,marker_label,regional_forest_service
a소나무림_2015_남부05,a소나무림,1,2015,b약도간벌,남부05,27,3,12.2,12.4,8.4,10.6,13.4,893,428.1,0.41,10.8,65.1,2.68,5.25,list(),NA,NA,cSouth
a소나무림_2015_남부05,a소나무림,1,2015,c강도간벌,남부05,27,3,21.2,21.8,12.9,15.6,20.2,408,352.5,0.34,15.2,105.8,2.81,4.12,list(),NA,NA,cSouth
a소나무림_2015_남부06,a소나무림,1,2015,a무간벌,남부06,47,5,18.7,20.6,11.8,17.2,15.7,1729,1411.3,1.36,57.6,410.6,-0.15,5.62,list(),NA,NA,cSouth
a소나무림_2015_남부06,a소나무림,1,2015,b약도간벌,남부06,47,5,21.9,22.9,11.2,16,15.1,1006,916.6,0.88,41.3,296.3,1.21,3.6,list(),NA,NA,cSouth
a소나무림_2015_남부06,a소나무림,1,2015,c강도간벌,남부06,47,5,28,29,12.3,17.1,16.1,570,667.4,0.64,37.8,289.3,1.26,3.41,list(),NA,NA,cSouth
a소나무림_2015_남부07,a소나무림,1,2015,a무간벌,남부07,35,4,15.8,17.5,12.7,16.3,18.1,1443,991.3,0.95,34.6,256.3,0.95,5.55,list(),NA,NA,cSouth
a소나무림_2015_남부07,a소나무림,1,2015,b약도간벌,남부07,35,4,23.9,24.9,12.7,16.9,18.4,742,739.9,0.71,36.2,266.6,1.25,5.34,list(),NA,NA,cSouth
a소나무림_2015_남부07,a소나무림,1,2015,c강도간벌,남부07,35,4,25,25.9,11,16.4,18.7,366,379.5,0.36,19.2,142.5,2.23,3.43,list(),NA,NA,cSouth
a소나무림_2015_남부08,a소나무림,1,2015,a무간벌,남부08,47,5,16.1,17.3,13.6,18.2,16.9,1699,1154,1.11,39.8,309.1,1.27,4.09,list(),NA,NA,cSouth
a소나무림_2015_남부08,a소나무림,1,2015,b약도간벌,남부08,47,5,17.3,17.8,10.2,14.1,13.1,1139,798.8,0.77,28.4,186.5,1.21,3.63,list(),NA,NA,cSouth
a소나무림_2015_남부08,a소나무림,1,2015,c강도간벌,남부08,47,5,21.4,22.1,10.7,15,14.9,667,585.1,0.56,25.5,179.2,2.01,4.13,list(),NA,NA,cSouth
a소나무림_2015_남부09,a소나무림,1,2015,a무간벌,남부09,48,5,22.3,23.4,16.8,20.7,19.1,1142,1065.7,1.02,49.1,419.9,1.13,5.35,list(),NA,NA,cSouth
a소나무림_2015_남부09,a소나무림,1,2015,b약도간벌,남부09,48,5,22.9,23.6,11.9,16,16.3,1006,945.4,0.91,43.9,314.3,1.27,4.15,list(),NA,NA,cSouth
a소나무림_2015_남부09,a소나무림,1,2015,c강도간벌,남부09,48,5,22.8,23.4,12.3,15.9,16,678,631.5,0.61,29,207.2,1.42,3.79,list(),NA,NA,cSouth
a소나무림_2015_남부10,a소나무림,1,2015,a무간벌,남부10,54,6,20.9,22,13.2,16.3,15.9,1241,1088.2,1.05,47.4,338.1,1.34,3.79,list(),NA,NA,cSouth
a소나무림_2015_남부10,a소나무림,1,2015,b약도간벌,남부10,54,6,17.1,18.1,10.8,14.9,13.4,1262,900.5,0.86,32.5,221.6,1.25,5.02,list(),NA,NA,cSouth
